seconds_elapsed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.219745849609375,0.0526000000536441,0.009800000116229,0.0412000007927417,-0.0050440016202628,-0.0003665191470645,0.001239183708094
0.239597412109375,0.0526000000536441,0.009800000116229,0.0412000007927417,-0.0050440016202628,-0.0003665191470645,0.001239183708094
0.259450439453125,0.0003999999898951,0.000499999965541,0.0317999981343746,-0.0050440016202628,-0.0003665191470645,0.001239183708094
0.279302001953125,0.0401000007987022,0.0242999996989965,0.0123999994248151,-0.0050440016202628,-0.0003665191470645,0.001239183708094
0.2991552734375,0.0307999998331069,-0.0037000000011175,0.0222999993711709,-0.0050440016202628,-0.0003665191470645,0.001239183708094
0.31900830078125,-0.0210999995470047,-0.0100999996066093,0.0318999998271465,-0.0050440016202628,-0.0003665191470645,0.001239183708094
0.338861328125,-0.0081000002101063,-0.0143999997526407,0.0317999981343746,-0.0050440016202628,-0.0003665191470645,0.001239183708094
0.35871435546875,0.0206000003963708,0.0099999997764825,0.0221999995410442,-0.0050440016202628,-0.0003665191470645,0.001239183708094
0.378566162109375,-0.0055999998003244,-0.0060999998822808,0.0220999997109174,-0.0050440016202628,-0.0003665191470645,0.001239183708094
0.398417724609375,-0.0346999987959861,0.0034999998752027,0.0024999999441206,-0.0001570796302985,0.0020594885572791,1.74532924575e-05
0.418270751953125,-0.0139999995008111,0.0020999999251216,0.0121999997645616,0.000733038294129,-0.0003839724231511,-0.0019547687843441
0.438123779296875,0.0150999994948506,-0.0104000000283122,0.0121999997645616,-0.000314159260597,0.0002967059845104,-0.0001570796302985
0.457975341796875,-0.0095999995246529,-0.0069999997504055,0.0219000000506639,-0.0009424777817912,0.0003490658418741,-0.0002967059845104
0.47782861328125,0.0077999997884035,0.0099999997764825,0.0416000001132488,-0.0003665191470645,-0.0006457717972807,-0.0007853981805965
0.497681640625,0.0179999992251396,0.0195000004023313,0.0222999993711709,-0.0011344640515744,-0.0008203047327697,-1.74532924575e-05
0.517533203125,-0.007999999448657,-0.0135999992489814,0.0318999998271465,-0.0025307273026555,-0.0017278759041801,0.0006108652451075
0.537387939453125,-0.0304999984800815,-0.0019999998621642,0.0219000000506639,0.0001570796302985,0.000663225131575,-0.0002268928074045
0.557239501953125,-0.000499999965541,0.0100999996066093,0.0121999997645616,0.0012217304902151,-0.0023736478760838,-0.0013788101496174
0.577092529296875,0.0290999989956617,0.006000000052154,0.0124999992549419,-0.000314159260597,-0.0005235987482592,-0.0016057029133662
0.596944091796875,0.0116999996826052,-0.007999999448657,0.0124999992549419,-0.0012042771559208,0.0012042771559208,0.0004014257283415
0.616797119140625,-0.0387999974191188,-0.0052000000141561,0.0219999998807907,-0.001570796361193,-0.0010995573829859,1.74532924575e-05
0.636650390625,-0.0095999995246529,-0.0049000000581145,0.0317999981343746,-0.0033161255996674,-0.0028099801857024,-0.0014137167017906
0.656503662109375,0.017799999564886,-0.0034999998752027,0.0219999998807907,-0.003246312495321,-0.0024609141983091,-0.0004363323096185
0.67635498046875,0.0065999999642372,-0.0692000016570091,0.0317999981343746,-0.0035430183634161,0.0016231562476605,0.0002617993741296
0.6962080078125,-0.0361999981105327,-0.0081000002101063,0.1002999991178512,-0.0012740903766825,-0.0044331364333629,-0.002670353744179
0.716059814453125,0.0484999977052211,0.1081999987363815,0.0023000000510364,-0.000488692196086,-0.0027227136306464,-0.0027750735171139
0.735912841796875,0.0081000002101063,0.0341999977827072,0.0032999999821186,0.0003490658418741,0.0009250245057046,0.0003839724231511
0.75576611328125,-0.0484999977052211,-0.0445999987423419,0.0120999999344348,-0.0010297442786395,0.000907571229618,0.0010122909443452
0.775617431640625,-0.0230999998748302,-0.0384999997913837,0.0115000000223517,-0.0013439034810289,-0.0033510322682559,-0.0014137167017906
0.795470947265625,0.0460999980568885,0.0052999998442828,0.0023999998811632,-0.0009424777817912,-0.0025481807533651,-0.0021467548795044
0.815323974609375,0.058799996972084,0.0196000002324581,-0.0362999998033046,-0.0027750735171139,-0.0011170107172802,0.0006981316837482
0.835177001953125,-0.017400000244379,-0.0039999997243285,0.0023000000510364,-0.0005934119690209,0.0026354470755904,-0.0004188790335319
0.855028564453125,-0.0504999980330467,-0.0405999980866909,0.0313000008463859,-0.0004363323096185,8.72664604685e-05,-0.000907571229618
0.8748818359375,0.014699999243021,0.0227999985218048,0.0510999970138073,0.0009599310578778,0.0003316125657875,-0.002076941775158
0.89473486328125,0.0357999987900257,0.0474999994039535,0.0222999993711709,-0.0010297442786395,0.0017976891249418,6.981316983e-05
0.91458642578125,-0.0071999998763203,0.0049000000581145,0.0124999992549419,0.0005585053586401,-0.0008028514566831,0.0
0.934439453125,-0.0268999990075826,-0.0734999999403953,0.0124999992549419,-0.0012915435945615,-0.0010995573829859,0.0002268928074045
0.95429248046875,0.0120000001043081,-0.0436999984085559,0.0124999992549419,-0.0019722220022231,-0.0027052604127675,0.0003490658418741
0.974145751953125,0.0309999994933605,0.0055999998003244,0.0320999994874,-0.0017104226863011,-0.0003839724231511,-0.0001570796302985
0.993997314453125,-0.0082000000402331,0.0352999977767467,0.0320999994874,-0.001239183708094,0.001483529806137,-0.0005934119690209
1.013850341796875,-0.0175999999046325,0.0158999990671873,0.0124999992549419,0.0001919862115755,0.00013962633966,-0.00132645026315
1.033703369140625,-0.0175999999046325,-0.0134999994188547,0.0320999994874,0.0007679448463022,0.0011170107172802,0.0005061454721726
1.05355517578125,-0.0269999988377094,-0.0037999998312443,0.0026999998372048,0.0004363323096185,0.0001047197583829,0.0001570796302985
1.073408203125,0.0120999999344348,0.0057999999262392,0.0320999994874,-0.0005410520825535,-6.981316983e-05,-0.0005934119690209
1.093259765625,0.0609999969601631,-0.0232999995350837,0.0222999993711709,-0.0023387412074953,-0.0005235987482592,0.0001047197583829
1.11311279296875,-0.0271999984979629,-0.0423000007867813,0.0222999993711709,-0.0014660765882581,-6.981316983e-05,0.0004014257283415
1.132966064453125,-0.0661999955773353,-0.0027999999001622,0.0320999994874,-0.0020245818886905,-0.0016231562476605,-0.0001919862115755
1.152817626953125,0.0019999998621642,0.0462999977171421,0.0124999992549419,0.0005410520825535,-0.0009250245057046,-0.0016057029133662
1.172670654296875,0.0309999994933605,0.026300000026822,-0.0069999997504055,0.0009599310578778,0.0019024088978767,0.0004712388908956
1.192523681640625,-0.046799998730421,-0.0324999988079071,0.0320999994874,0.0021816615480929,0.0012915435945615,-0.0009599310578778
1.212375244140625,-0.0366999991238117,-0.0524000003933906,0.0418999977409839,0.000314159260597,-0.0024609141983091,-0.00132645026315
1.232228515625,0.0697999969124794,-0.0033999998122453,0.0026999998372048,-0.0011344640515744,-0.0028797932900488,-0.0011868239380419
1.25208154296875,0.0491999983787536,-0.0225999988615512,0.0026999998372048,-0.0021293016616255,0.0008028514566831,0.0023212879896163
1.271934814453125,-0.048200000077486,-0.0121999997645616,0.0026999998372048,-0.001483529806137,-0.0013962633674964,-0.00027925267932
1.2917861328125,-0.0480999983847141,0.0074999998323619,0.0124999992549419,-0.0016755161341279,-0.0016231562476605,-0.0014486232539638
1.3116396484375,0.0101999994367361,0.0077999997884035,0.0026999998372048,-0.000314159260597,-0.0012915435945615,-0.00027925267932
1.331490966796875,-0.0094999996945261,0.0175000000745058,0.0026999998372048,8.72664604685e-05,0.0035953782498836,0.0003490658418741
1.35134423828125,-0.0184000004082918,-0.0019999998621642,0.0026999998372048,0.0013613568153232,0.0001047197583829,-0.0022514746524393
